complex_name,protein_path,ligand_description,protein_sequence
NCc1cccnc1Oc1cccc(C(F)(F)F)c1,GLP1.pdb,NCc1cccnc1Oc1cccc(C(F)(F)F)c1,
N[C@H]1C[C@H](c2ccc(C(F)(F)F)cc2)C1,GLP1.pdb,N[C@H]1C[C@H](c2ccc(C(F)(F)F)cc2)C1,
COC(=O)CC(CN)C(F)(F)F,GLP1.pdb,COC(=O)CC(CN)C(F)(F)F,
CN1C(=O)C[C@H](CN)[C@H]1c1ccccc1,GLP1.pdb,CN1C(=O)C[C@H](CN)[C@H]1c1ccccc1,
NCc1cnccc1O,GLP1.pdb,NCc1cnccc1O,
COc1ccc2[nH]cc(CCN)c2c1,GLP1.pdb,COc1ccc2[nH]cc(CCN)c2c1,
NCC1CCc2ccccc2C1,GLP1.pdb,NCC1CCc2ccccc2C1,
NCCCCCCOc1ccc(Cl)cc1,GLP1.pdb,NCCCCCCOc1ccc(Cl)cc1,
Cc1nn(C)cc1C(C)N,GLP1.pdb,Cc1nn(C)cc1C(C)N,
CC(C)(CN)c1ccc2c(c1)OCO2,GLP1.pdb,CC(C)(CN)c1ccc2c(c1)OCO2,
NCCc1cccc(Cl)c1Cl,GLP1.pdb,NCCc1cccc(Cl)c1Cl,
CC(N)c1ccc(Br)cc1F,GLP1.pdb,CC(N)c1ccc(Br)cc1F,
NCc1ccc(OC(F)F)cc1OC(F)F,GLP1.pdb,NCc1ccc(OC(F)F)cc1OC(F)F,
NCC12CC(c3ccccc3)(C1)C2(F)F,GLP1.pdb,NCC12CC(c3ccccc3)(C1)C2(F)F,
C=CCN1CCC(N)CC1,GLP1.pdb,C=CCN1CCC(N)CC1,
CC1(C)SCC1N,GLP1.pdb,CC1(C)SCC1N,
CC(N)Cc1cccs1,GLP1.pdb,CC(N)Cc1cccs1,
CC1(C)OCC(CN)CO1,GLP1.pdb,CC1(C)OCC(CN)CO1,
NCCCN1C(=O)NC2(CCC2)C1=O,GLP1.pdb,NCCCN1C(=O)NC2(CCC2)C1=O,
CNC(=O)C(CN)Cc1ccc(F)cc1C,GLP1.pdb,CNC(=O)C(CN)Cc1ccc(F)cc1C,
COc1cc(CCN)cc(Br)c1OC,GLP1.pdb,COc1cc(CCN)cc(Br)c1OC,
NCC1CCCC12CCC2,GLP1.pdb,NCC1CCCC12CCC2,
C#CC(CN)OC,GLP1.pdb,C#CC(CN)OC,
Cc1cc(Cl)cn2cc(CN)nc12,GLP1.pdb,Cc1cc(Cl)cn2cc(CN)nc12,
CC(N)C(C)n1cncn1,GLP1.pdb,CC(N)C(C)n1cncn1,
CC1(N)COc2ccccc21,GLP1.pdb,CC1(N)COc2ccccc21,
Cn1nnc(CN)c1C(F)(F)F,GLP1.pdb,Cn1nnc(CN)c1C(F)(F)F,
